09:30;10:00;"Ready to connect!";Die Alpen-Adria-Universität Klagenfurt präsentiert einen Einführungsvortrag für MaturantInnen.;HS 1
10:00;10:30;"Ready to connect!";"Die Alpen-Adria-Universität Klagenfurt präsentiert einen Einführungsvortrag für MaturantInnen. 
[Dieser 2. Durchlauf findet nur  bei Überbuchung des 1. Durchlaufs statt.]";HS 4
10:30;11:00;Mein erster Lebenslauf!;monster.at gibt Tipps, wie BerufsanfängerInnen ihren Lebenslauf attraktiv verfassen können.;HS 1
11:00;11:30;Karrieremöglichkeiten bei HOFER KG;HOFER KG  präsentiert die vielfältigen Karrierechancen im Unternehmen.;HS 4
11:30;12:00;Die Bedeutung von Bildung am Beispiel der Arbeitsmarktsituation von jungen Erwachsenen in Kärnten;Dr. Robert Klinglmair (Senior Lecturer und Researcher: Institut für Volkswirtschaftslehre, AAU Klagenfurt) berichtet über seine Forschungsergebnisse.;HS 1
12:00;12:30;Freiheit beginnt im Kopf! ;Studieren an der FH Kärnten;HS 4
12:30;13:00;Entscheidungen treffen!;Die Psychologische Studierendenberatung verrät, wie man den geeigneten Bildungs- & Berufsweg finden kann.;HS 1
13:00;13:30;passion2practice: JUMP IN! Ihr internationales Sprungbrett;Ines Kaps, EMBA (Geschäftsführerin, passion2practice GmbH) ist Absolventin der AAU und gibt Einblicke in den Arbeitsalltag einer Start-Up Unternehmensberatung.;HS 4
13:30;14:00;Karriereplanung - wer weiß wie's geht, ist klar im Vorteil! ;Tipps & Tricks von karriere.at;HS 1
14:00;14:30;Auslandserfahrung - ein Plus für die Bewerbung! ;Das Büro für Internationale Beziehungen berichtet über Auslandsmöglichkeiten während des Studiums an der AAU.;HS 4
